
                  X                 test      

                0.                 0.         
               10.0036E-03       -86.5535     
               20.003E-03         -6.83303    
               30.002E-03       -938.003E-03  
               40.0102E-03        -1.09086    
               50.0236E-03        -1.11771    
               60.0429E-03        -4.96636    
               70.0156E-03        -4.87323    
               80.0371E-03        -3.39903    
               90.0428E-03        -3.12249    
              100.035E-03         -3.47133    
              110.005E-03         -4.74039    
              120.042E-03         -5.87211    
              130.028E-03         -4.80474    
              140.008E-03         -4.75797    
              150.047E-03         -4.89648    
              160.04E-03          -5.89844    
              170.046E-03         -5.80155    
              180.004E-03         -6.16322    
              190.014E-03         -6.0385     
              200.023E-03         -6.27034    
              210.042E-03         -7.34904    
              220.014E-03         -8.27304    
              230.035E-03         -7.47428    
              240.004E-03         -7.32719    
              250.014E-03         -7.24797    
              260.034E-03         -8.02854    
              270.014E-03        -10.3203     
              280.009E-03         -9.07187    
              290.005E-03         -8.35249    
              300.046E-03         -8.12204    
              310.041E-03         -9.33312    
              320.017E-03        -11.9244     
              330.023E-03        -10.6046     
              340.026E-03         -9.96225    
              350.023E-03        -10.0522     
              360.023E-03        -10.7738     
              370.007E-03        -13.2852     
              380.035E-03        -11.3073     
              390.012E-03        -11.0766     
              400.04E-03         -11.5368     
              410.026E-03        -12.1716     
              420.E-03           -14.8464     
              430.04E-03         -12.4533     
              440.039E-03        -12.2878     
              450.032E-03        -12.4001     
              460.023E-03        -12.797      
              470.045E-03        -15.883      
              480.025E-03        -13.387      
              490.003E-03        -13.6625     
              500.025E-03        -13.6186     
              510.046E-03        -14.1565     
              520.012E-03        -17.4147     
              530.032E-03        -14.6593     
              540.006E-03        -14.8783     
              550.024E-03        -14.8144     
              560.037E-03        -15.3824     
              570.001E-03        -18.7984     
              580.003E-03        -15.7329     
              590.012E-03        -15.7942     
              600.014E-03        -15.7878     
              610.017E-03        -16.7639     
              620.029E-03        -20.2091     
              630.029E-03        -17.2077     
              640.031E-03        -17.1425     
              650.027E-03        -16.9852     
              660.021E-03        -17.8962     
              670.036E-03        -21.3843     
              680.039E-03        -17.9346     
              690.045E-03        -17.9985     
              700.048E-03        -18.0011     
              710.002E-03        -18.7286     
              720.024E-03        -22.729      
              730.03E-03         -19.3048     
              740.04E-03         -19.2932     
              750.04E-03         -18.9842     
              760.04E-03         -19.6778     
              770.028E-03        -23.7705     
              780.002E-03        -20.3326     
              790.032E-03        -20.2731     
              800.007E-03        -20.1762     
              810.032E-03        -20.6496     
              820.016E-03        -25.1132     
              830.041E-03        -21.1008     
              840.016E-03        -21.3121     
              850.034E-03        -21.4983     
              860.011E-03        -21.2156     
              870.049E-03        -25.4764     
              880.029E-03        -21.7217     
              890.002E-03        -23.0278     
              900.02E-03         -21.4487     
              910.047E-03        -22.2263     
              920.036E-03        -24.1599     
              930.023E-03        -23.0672     
              940.009E-03        -22.6696     
              950.039E-03        -22.3243     
              960.035E-03        -23.1721     
              970.005E-03        -23.1225     
              980.002E-03        -22.9049     
              990.004E-03        -23.9607     
                1.               -22.4387     




