
                  X                 rf1       

                0.                -0.         
              100.E-03           -29.786E-03  
              200.E-03           -60.5976E-03 
              300.E-03           -92.3381E-03 
              400.E-03          -124.881E-03  
              500.E-03          -158.216E-03  
              600.E-03          -192.232E-03  
              700.E-03          -226.86E-03   
              800.E-03          -262.036E-03  
              900.E-03          -297.702E-03  
                1.              -333.804E-03  




