#{"t_start": 1597825671.7083817, "env_id": null}
r,l,t
0.0,303,6.734146
0.0,303,9.439011
0.0,303,11.656852
0.0,303,14.124786
0.0,303,16.628102
0.0,303,19.394517
0.0,303,22.216197
0.0,303,24.629708
0.0,303,27.165464
0.0,303,29.528254
0.0,303,31.883504
0.0,303,34.531471
0.0,303,36.740109
0.0,303,39.14379
0.0,303,42.24481
0.0,303,45.052389
0.0,303,47.851473
0.0,303,50.121706
0.0,303,52.661201
0.0,303,55.194934
0.0,303,57.560136
0.0,303,60.18966
0.0,303,62.444172
0.0,303,64.904614
0.0,303,67.736152
0.0,303,70.574685
0.0,303,74.140154
0.0,303,77.390468
0.0,303,80.979383
0.0,303,84.731354
0.0,303,88.873281
0.0,303,92.145535
0.0,303,95.180931
0.0,303,98.694539
0.0,303,101.332487
0.0,303,104.065183
0.0,303,108.191154
0.0,303,111.872313
0.0,303,114.613985
0.0,303,117.361953
0.0,303,119.848307
0.0,303,122.678742
0.0,303,125.261836
0.0,303,127.67339
0.0,303,130.52377
0.0,303,133.160724
0.0,303,135.916356
0.0,303,138.410689
0.0,303,141.333875
0.0,303,144.237115
0.0,303,147.59813
0.0,303,150.733773
0.0,303,154.611916
0.0,303,158.385886
0.0,303,162.318908
0.0,303,166.119748
0.0,303,169.560061
0.0,303,172.771476
0.0,303,176.073649
0.0,303,179.087592
0.0,303,185.004776
0.0,303,188.02969
0.0,303,191.112449
0.0,303,194.034639
0.0,303,196.926907
0.0,303,199.993709
0.0,303,202.617705
0.0,303,205.544871
0.0,303,208.694451
0.0,303,211.787693
0.0,303,214.519392
0.0,303,217.513389
0.0,303,220.47547
0.0,303,222.986758
0.0,303,225.581821
0.0,303,228.676062
0.0,303,231.707956
0.0,303,234.271109
0.0,303,237.529396
0.0,303,240.70391
0.0,303,244.699253
0.0,303,248.829411
0.0,303,252.456994
0.0,303,255.913183
0.0,303,259.279295
0.0,303,262.649798
0.0,303,265.16658
0.0,303,267.975074
0.0,303,270.843407
0.0,303,273.487339
0.0,303,276.451926
0.0,303,279.096856
0.0,303,281.714858
0.0,303,284.695889
0.0,303,287.341816
0.0,303,289.947851
0.0,303,292.993709
0.0,303,295.741872
0.0,303,298.876002
0.0,303,301.610692
0.0,303,304.065658
0.0,303,307.266121
0.0,303,310.468562
0.0,303,313.812639
0.0,303,316.500452
0.0,303,319.209213
0.0,303,322.009726
0.0,303,324.586837
0.0,303,327.241741
0.0,303,330.067189
0.0,303,332.567504
0.0,303,335.431848
0.0,303,337.973057
0.0,303,340.903223
0.0,303,344.605328
0.0,303,348.139853
0.0,303,351.49297
0.0,303,355.271379
0.0,303,358.588512
0.0,303,361.870379
0.0,303,365.773967
0.0,303,369.469744
0.0,303,373.383324
